                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.74907,                0.01023,                0.07433,                0.41514,                 1.0445,                0.99514,                0.99933,                 0.9933,                0.81266,                0.99514,                0.99933,                 0.9933,                 0.9933,                0.74752,                 0.0101,                  7e-05,                0.32861,                0.95475,                0.00703,                0.00703,                0.00703
                     47,                0.73225,                0.00998,                0.05721,                0.39937,                 1.0507,                0.99514,                0.99962,                0.99233,                0.81601,                0.99514,                0.99962,                0.99233,                0.99233,                0.69886,                 0.0081,                0.00223,                0.35363,                0.93739,               0.006964,               0.006964,               0.006964
                     48,                0.73778,                0.01098,                  0.056,                0.39796,                 1.0375,                0.99506,                      1,                0.99471,                0.76846,                0.99506,                      1,                0.99471,                0.99471,                0.84155,                0.00905,                0.00034,                 0.3376,                 1.0007,               0.006898,               0.006898,               0.006898
                     49,                0.75229,                0.01015,                0.06207,                0.40359,                 1.0575,                0.99389,                      1,                0.99286,                0.77898,                0.99389,                      1,                0.99286,                0.99286,                0.81734,                 0.0089,                0.00024,                0.33546,                0.99002,               0.006832,               0.006832,               0.006832
                     50,                0.74265,                0.01082,                0.06707,                0.40586,                 1.0454,                0.98519,                      1,                0.99083,                0.80398,                0.98519,                      1,                0.99083,                0.99083,                0.74917,                0.00929,                0.00202,                0.35633,                0.95398,               0.006766,               0.006766,               0.006766
                     51,                 0.7375,                0.00973,                 0.0598,                0.39786,                 1.0406,                0.98498,                      1,                  0.995,                0.80764,                0.98498,                      1,                  0.995,                  0.995,                0.71923,                0.00744,                0.00022,                0.33246,                0.94071,                 0.0067,                 0.0067,                 0.0067
                     52,                0.71191,                0.00959,                0.06943,                0.38558,                 1.0282,                0.99461,                0.99512,                0.99456,                0.80987,                0.99461,                0.99512,                0.99456,                0.99456,                 0.7534,                0.00755,                  3e-05,                0.31947,                0.95698,               0.006634,               0.006634,               0.006634
                     53,                0.73171,                 0.0089,                0.06461,                0.39173,                 1.0446,                0.98484,                      1,                0.99422,                0.83199,                0.98484,                      1,                0.99422,                0.99422,                0.66685,                0.00826,                  9e-05,                0.32117,                0.91677,               0.006568,               0.006568,               0.006568
                     54,                0.69832,                0.00969,                0.04945,                0.36802,                 1.0263,                0.99387,                      1,                0.99471,                0.84249,                0.99387,                      1,                0.99471,                0.99471,                0.63674,                0.00732,                0.00015,                0.31141,                0.91301,               0.006502,               0.006502,               0.006502
                     55,                0.72233,                0.00893,                0.06734,                 0.3818,                 1.0249,                0.99174,                      1,                0.99272,                 0.8283,                0.99174,                      1,                0.99272,                0.99272,                0.66286,                0.00915,                0.00101,                0.30793,                0.91727,               0.006436,               0.006436,               0.006436
                     56,                0.69881,                0.00884,                0.05705,                0.36818,                 1.0155,                0.99397,                0.99512,                 0.9949,                0.79536,                0.99397,                0.99512,                 0.9949,                 0.9949,                0.81892,                0.01397,                0.00024,                0.33183,                0.98597,                0.00637,                0.00637,                0.00637
                     57,                 0.7188,                0.00943,                0.06317,                0.37588,                 1.0363,                0.99468,                0.99512,                0.99466,                0.82546,                0.99468,                0.99512,                0.99466,                0.99466,                0.68004,                0.00866,                0.00015,                0.31182,                0.93664,               0.006304,               0.006304,               0.006304
                     58,                0.71513,                0.00923,                0.06268,                0.37658,                 1.0295,                0.99514,                0.99944,                0.99442,                0.84985,                0.99514,                0.99944,                0.99442,                0.99442,                0.63693,                 0.0092,                0.00566,                0.31234,                0.90476,               0.006238,               0.006238,               0.006238
                     59,                0.70363,                0.00993,                0.06854,                0.37321,                 1.0188,                0.99445,                0.99512,                0.99495,                0.84269,                0.99445,                0.99512,                0.99495,                0.99495,                0.66972,                0.00829,                0.00032,                0.29641,                0.91196,               0.006172,               0.006172,               0.006172
                     60,                0.70109,                0.01062,                0.05937,                0.37103,                 1.0252,                0.99514,                0.99966,                0.99495,                0.81338,                0.99514,                0.99966,                0.99495,                0.99495,                0.74422,                0.01135,                0.00057,                0.31279,                0.94674,               0.006106,               0.006106,               0.006106
                     61,                0.70112,                0.00967,                0.05782,                0.37195,                 1.0115,                0.99514,                0.99973,                0.99495,                0.82707,                0.99514,                0.99973,                0.99495,                0.99495,                0.68639,                0.00735,                0.00243,                0.29698,                0.92821,                0.00604,                0.00604,                0.00604
                     62,                0.67924,                0.00819,                0.05301,                0.35818,                 1.0095,                0.99446,                0.99512,                  0.995,                0.82922,                0.99446,                0.99512,                  0.995,                  0.995,                0.69815,                0.00984,                0.00038,                0.30299,                0.93463,               0.005974,               0.005974,               0.005974
                     63,                0.67508,                0.00822,                0.06444,                0.35572,                 1.0007,                0.99514,                0.99936,                  0.995,                 0.8377,                0.99514,                0.99936,                  0.995,                  0.995,                0.67137,                 0.0074,                0.00059,                0.30477,                 0.9193,               0.005908,               0.005908,               0.005908
                     64,                0.69912,                0.00873,                0.04371,                0.36891,                  1.019,                0.99467,                      1,                0.99481,                0.85976,                0.99467,                      1,                0.99481,                0.99481,                0.60258,                0.00883,                0.00037,                0.30286,                0.89516,               0.005842,               0.005842,               0.005842
                     65,                0.67837,                0.00939,                0.04426,                0.35402,                 1.0103,                0.99514,                0.99952,                0.99495,                0.83629,                0.99514,                0.99952,                0.99495,                0.99495,                0.67115,                0.00809,                0.00017,                0.28947,                0.91584,               0.005776,               0.005776,               0.005776
                     66,                  0.677,                0.00857,                0.05861,                0.36559,                  1.011,                0.99023,                      1,                  0.995,                0.84544,                0.99023,                      1,                  0.995,                  0.995,                0.64114,                0.00965,                0.00086,                0.29231,                0.90348,                0.00571,                0.00571,                0.00571
