epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,5393.93,0.34923,0.38975,0.25697,0.81117,0,1,0.95138,0.99147,0.85704,1,0.95138,0.99147,0.88156,0.38418,0.35392,0.27818,0.87483,0,0.0005446,0.0005446,0.0005446
71,5468.01,0.36206,0.39536,0.26141,0.81533,0,0.9856,0.99283,0.99492,0.89366,0.9856,0.99283,0.99492,0.91939,0.35214,0.30326,0.27166,0.8578,0,0.000538,0.000538,0.000538
72,5542.05,0.35724,0.38789,0.25876,0.81834,0,0.96408,0.99059,0.99313,0.86417,0.96408,0.99059,0.99313,0.93906,0.37217,0.32335,0.27864,0.85896,0,0.0005314,0.0005314,0.0005314
73,5616.07,0.34765,0.39208,0.25486,0.81527,0,1,0.98383,0.995,0.87564,1,0.98383,0.995,0.91497,0.36211,0.35195,0.28729,0.85353,0,0.0005248,0.0005248,0.0005248
74,5690.12,0.35694,0.40566,0.25829,0.81166,0,0.96833,0.98515,0.99313,0.8784,0.96833,0.98515,0.99313,0.91373,0.35176,0.33686,0.30863,0.85001,0,0.0005182,0.0005182,0.0005182
75,5764.21,0.35351,0.40975,0.25505,0.81463,0,0.96658,0.99418,0.99313,0.87754,0.96658,0.99418,0.99313,0.92924,0.35575,0.32661,0.27574,0.85508,0,0.0005116,0.0005116,0.0005116
76,5838.29,0.35894,0.38202,0.25475,0.81189,0,0.99581,0.99631,0.995,0.85253,0.99581,0.99631,0.995,0.9191,0.36491,0.32176,0.26874,0.85993,0,0.000505,0.000505,0.000505
77,5912.4,0.36468,0.3953,0.25643,0.81183,0,0.99671,0.99586,0.995,0.89639,0.99671,0.99586,0.995,0.92904,0.35878,0.32342,0.2714,0.85051,0,0.0004984,0.0004984,0.0004984
78,5986.47,0.3656,0.40945,0.26283,0.81642,0,0.97276,0.95433,0.99,0.87736,0.97276,0.95433,0.99,0.91079,0.36778,0.30963,0.27793,0.85817,0,0.0004918,0.0004918,0.0004918
79,6060.64,0.35434,0.39433,0.25262,0.81566,0,0.9912,0.9606,0.99147,0.8907,0.9912,0.9606,0.99147,0.90949,0.35875,0.3334,0.26952,0.85632,0,0.0004852,0.0004852,0.0004852
80,6134.74,0.34348,0.38516,0.24423,0.81679,0,0.99756,0.99355,0.995,0.88574,0.99756,0.99355,0.995,0.90712,0.35364,0.31517,0.26067,0.85106,0,0.0004786,0.0004786,0.0004786
81,6208.79,0.35347,0.39083,0.25139,0.80728,0,0.99249,0.99099,0.995,0.8957,0.99249,0.99099,0.995,0.92691,0.34077,0.31063,0.26866,0.84621,0,0.000472,0.000472,0.000472
82,6282.91,0.34477,0.39793,0.24415,0.80589,0,0.97202,0.9934,0.995,0.90384,0.97202,0.9934,0.995,0.91235,0.34553,0.34201,0.26107,0.85004,0,0.0004654,0.0004654,0.0004654
83,6357.03,0.34981,0.39783,0.24982,0.81181,0,0.99723,0.9963,0.995,0.90321,0.99723,0.9963,0.995,0.91522,0.35094,0.35791,0.27547,0.84722,0,0.0004588,0.0004588,0.0004588
84,6431.17,0.3408,0.39203,0.24152,0.80612,0,0.99672,0.99422,0.995,0.89694,0.99672,0.99422,0.995,0.93215,0.35303,0.31479,0.29108,0.85113,0,0.0004522,0.0004522,0.0004522
85,6505.21,0.34293,0.38623,0.24796,0.81407,0,0.99757,0.99787,0.995,0.88021,0.99757,0.99787,0.995,0.91532,0.35176,0.31923,0.26364,0.84985,0,0.0004456,0.0004456,0.0004456
86,6579.27,0.34042,0.38501,0.24936,0.81612,0,0.98671,0.98816,0.995,0.88894,0.98671,0.98816,0.995,0.92093,0.33777,0.31097,0.25894,0.8457,0,0.000439,0.000439,0.000439
87,6653.32,0.34403,0.39596,0.24578,0.81488,0,0.9868,0.9916,0.99496,0.89474,0.9868,0.9916,0.99496,0.9155,0.38549,0.32302,0.26263,0.85257,0,0.0004324,0.0004324,0.0004324
88,6727.32,0.34126,0.39051,0.24196,0.81584,0,0.99619,0.99196,0.995,0.88744,0.99619,0.99196,0.995,0.91685,0.36464,0.33448,0.25216,0.85362,0,0.0004258,0.0004258,0.0004258
89,6801.39,0.33843,0.38558,0.23806,0.80744,0,0.99805,0.99243,0.995,0.89931,0.99805,0.99243,0.995,0.92478,0.34343,0.30886,0.26455,0.84969,0,0.0004192,0.0004192,0.0004192
90,6875.45,0.33195,0.38628,0.23143,0.80705,0,0.99184,0.99538,0.995,0.9075,0.99184,0.99538,0.995,0.92936,0.33813,0.29694,0.25848,0.84849,0,0.0004126,0.0004126,0.0004126
91,6949.66,0.34193,0.39812,0.23683,0.81055,0,0.9645,1,0.99313,0.88582,0.9645,1,0.99313,0.91802,0.35311,0.34065,0.26616,0.84838,0,0.000406,0.000406,0.000406
92,7023.69,0.33628,0.38315,0.2313,0.80538,0,0.99815,0.96306,0.99313,0.87635,0.99815,0.96306,0.99313,0.9269,0.35766,0.31988,0.24333,0.85203,0,0.0003994,0.0003994,0.0003994
93,7097.75,0.32207,0.38217,0.227,0.8063,0,0.99891,1,0.995,0.87279,0.99891,1,0.995,0.92416,0.34941,0.33431,0.2384,0.85527,0,0.0003928,0.0003928,0.0003928
94,7171.79,0.32532,0.38287,0.22803,0.80286,0,0.99743,0.99316,0.995,0.89339,0.99743,0.99316,0.995,0.93074,0.33924,0.31796,0.27246,0.84196,0,0.0003862,0.0003862,0.0003862
95,7245.75,0.33225,0.37832,0.23577,0.80978,0,0.99825,0.99382,0.995,0.89418,0.99825,0.99382,0.995,0.93147,0.35155,0.31525,0.27432,0.84488,0,0.0003796,0.0003796,0.0003796
96,7319.82,0.33657,0.38137,0.23288,0.81081,0,0.96395,0.99903,0.99313,0.85762,0.96395,0.99903,0.99313,0.91497,0.35912,0.34872,0.25973,0.8615,0,0.000373,0.000373,0.000373
97,7393.8,0.32991,0.37791,0.23239,0.81112,0,0.96531,0.99716,0.99313,0.8775,0.96531,0.99716,0.99313,0.91435,0.36079,0.34542,0.25743,0.84777,0,0.0003664,0.0003664,0.0003664
98,7467.75,0.32557,0.38726,0.23182,0.8113,0,0.99653,0.99692,0.995,0.89017,0.99653,0.99692,0.995,0.93055,0.34899,0.31909,0.25904,0.84514,0,0.0003598,0.0003598,0.0003598
99,7541.79,0.31317,0.37118,0.21903,0.80311,0,0.98196,0.99633,0.995,0.89168,0.98196,0.99633,0.995,0.92671,0.33596,0.32292,0.2508,0.84406,0,0.0003532,0.0003532,0.0003532
100,7615.81,0.32371,0.39059,0.22757,0.80139,0,0.99625,0.98919,0.995,0.88225,0.99625,0.98919,0.995,0.92642,0.33648,0.33751,0.23571,0.84617,0,0.0003466,0.0003466,0.0003466
101,7689.86,0.32707,0.38908,0.22841,0.80564,0,0.99519,0.9958,0.995,0.89547,0.99519,0.9958,0.995,0.91663,0.367,0.33072,0.271,0.84556,0,0.00034,0.00034,0.00034
102,7763.96,0.32459,0.38111,0.22341,0.81144,0,0.99938,1,0.995,0.88149,0.99938,1,0.995,0.92814,0.37533,0.33317,0.25473,0.85235,0,0.0003334,0.0003334,0.0003334
103,7838,0.32934,0.38207,0.23004,0.80892,0,0.99862,0.99926,0.995,0.8957,0.99862,0.99926,0.995,0.92789,0.35197,0.33321,0.24751,0.8457,0,0.0003268,0.0003268,0.0003268
104,7911.97,0.32594,0.38257,0.22994,0.80679,0,0.99801,0.99625,0.995,0.88606,0.99801,0.99625,0.995,0.92627,0.34442,0.3192,0.28237,0.84815,0,0.0003202,0.0003202,0.0003202
105,7985.99,0.32228,0.37527,0.22961,0.80522,0,0.9934,0.99664,0.995,0.88103,0.9934,0.99664,0.995,0.91677,0.33221,0.31625,0.2412,0.84814,0,0.0003136,0.0003136,0.0003136
106,8060.02,0.33029,0.39356,0.22873,0.80569,0,0.99564,0.96246,0.99147,0.88785,0.99564,0.96246,0.99147,0.91445,0.34118,0.33746,0.25051,0.85214,0,0.000307,0.000307,0.000307
107,8134.08,0.31432,0.36778,0.22174,0.80542,0,0.99728,0.9958,0.995,0.92439,0.99728,0.9958,0.995,0.92933,0.31137,0.31656,0.24428,0.84153,0,0.0003004,0.0003004,0.0003004
108,8208.19,0.31664,0.37676,0.21781,0.80694,0,0.99769,0.99686,0.995,0.90693,0.99769,0.99686,0.995,0.92978,0.32248,0.32252,0.23599,0.83983,0,0.0002938,0.0002938,0.0002938
109,8282.23,0.32019,0.37137,0.22429,0.80478,0,0.99728,0.99701,0.995,0.91732,0.99728,0.99701,0.995,0.92516,0.30808,0.32139,0.23497,0.83538,0,0.0002872,0.0002872,0.0002872
110,8356.26,0.31841,0.37707,0.22205,0.81034,0,0.9983,0.99458,0.995,0.93205,0.9983,0.99458,0.995,0.92278,0.32242,0.32855,0.24289,0.83691,0,0.0002806,0.0002806,0.0002806
111,8430.41,0.32146,0.38425,0.21974,0.80251,0,0.99864,0.99771,0.995,0.93108,0.99864,0.99771,0.995,0.92102,0.33445,0.33537,0.23313,0.84155,0,0.000274,0.000274,0.000274
112,8504.41,0.32346,0.39113,0.2173,0.81118,0,0.99837,0.99966,0.995,0.90704,0.99837,0.99966,0.995,0.92785,0.33928,0.3249,0.23176,0.83723,0,0.0002674,0.0002674,0.0002674
113,8578.47,0.3223,0.39089,0.21984,0.80359,0,0.99582,0.9977,0.99496,0.91548,0.99582,0.9977,0.99496,0.92305,0.34377,0.33215,0.2391,0.84002,0,0.0002608,0.0002608,0.0002608
114,8652.44,0.31948,0.37559,0.21445,0.79971,0,0.9958,0.99051,0.995,0.91079,0.9958,0.99051,0.995,0.92565,0.3122,0.32879,0.22414,0.84169,0,0.0002542,0.0002542,0.0002542
115,8726.5,0.31132,0.38734,0.21389,0.80766,0,0.99708,0.9958,0.995,0.90521,0.99708,0.9958,0.995,0.93079,0.31759,0.31845,0.22201,0.84232,0,0.0002476,0.0002476,0.0002476
116,8800.49,0.31458,0.37815,0.2152,0.80203,0,0.99823,0.99413,0.995,0.93037,0.99823,0.99413,0.995,0.92747,0.32252,0.32999,0.23455,0.83192,0,0.000241,0.000241,0.000241
117,8874.79,0.31239,0.37557,0.21137,0.80697,0,0.99861,0.99398,0.995,0.9308,0.99861,0.99398,0.995,0.92658,0.3265,0.31917,0.23552,0.83395,0,0.0002344,0.0002344,0.0002344
118,8948.85,0.31844,0.3955,0.22162,0.80607,0,0.99737,0.99313,0.995,0.94749,0.99737,0.99313,0.995,0.93597,0.307,0.32346,0.21818,0.83268,0,0.0002278,0.0002278,0.0002278
119,9022.99,0.31357,0.37713,0.21347,0.80433,0,0.99759,0.9936,0.995,0.95533,0.99759,0.9936,0.995,0.93182,0.3004,0.32241,0.22194,0.82984,0,0.0002212,0.0002212,0.0002212
120,9097.12,0.32377,0.38971,0.2197,0.80595,0,0.99925,0.99632,0.995,0.93915,0.99925,0.99632,0.995,0.93787,0.3031,0.31708,0.22067,0.83294,0,0.0002146,0.0002146,0.0002146
121,9171.18,0.30372,0.37683,0.21308,0.80143,0,0.99802,0.99703,0.995,0.92425,0.99802,0.99703,0.995,0.91954,0.33621,0.33928,0.21989,0.83499,0,0.000208,0.000208,0.000208
122,9245.18,0.31738,0.39001,0.21333,0.80779,0,0.99777,0.99705,0.995,0.91686,0.99777,0.99705,0.995,0.92311,0.2973,0.3273,0.21008,0.82889,0,0.0002014,0.0002014,0.0002014
123,9319.26,0.30603,0.37915,0.21098,0.80109,0,0.99666,0.99683,0.995,0.93824,0.99666,0.99683,0.995,0.92961,0.28806,0.32382,0.20759,0.82775,0,0.0001948,0.0001948,0.0001948
